time_s,iters,rps,mbps,p50_us,p95_us,p99_us,cpu_pct,rss_mb,errors
1591,589870792,373051,11657.8,43.55,58.5,65.5,468.955,5,0
1601,593607165,373349,11667.2,43.55,58.5,65.5,463.125,5,0
1612,597338811,372893,11652.9,43.55,58.5,65.5,464.275,5,0
1622,601075076,373011,11656.6,43.55,58.5,65.5,468.799,5,0
1632,604806803,372605,11643.9,43.55,58.5,65.5,455.382,5,0
1642,608536420,372373,11636.7,43.55,58.5,65.5,468.955,5,0
1652,612272395,373023,11657,43.55,58.5,65.5,463.495,5,0
1662,616006858,372869,11652.1,43.55,58.5,65.5,446.646,5,0
1672,619745567,373291,11665.3,43.55,58.5,65.5,460.53,5,0
1682,623487969,373072,11658.5,43.55,58.5,65.5,460.748,5,0
1692,627223155,372933,11654.2,43.55,58.5,65.5,462.402,5,0
1702,630962868,373390,11668.5,43.55,58.5,65.5,460.998,5,0
1712,634700143,373129,11660.3,43.55,58.5,65.5,462.402,5,0
1722,638439298,373327,11666.5,43.55,58.5,65.5,455.694,5,0
1732,642176519,373159,11661.2,43.55,58.5,65.5,462.09,5,0
1742,645913919,373161,11661.3,43.55,58.5,65.5,460.062,5,0
1752,649643160,372326,11635.2,43.55,58.5,65.5,465.523,5,0
1762,653374813,372581,11643.1,43.55,58.5,65.5,455.538,5,0
1772,657108090,372774,11649.2,43.55,58.5,65.5,476.443,5,0
1782,660855361,374107,11690.8,43.55,58.5,65.5,468.331,5,0
1792,664604596,374356,11698.6,43.55,58.5,65.5,472.855,5,0
1802,668346890,373676,11677.4,43.55,58.5,65.5,464.275,5,0
1812,672095418,374228,11694.6,43.55,58.5,65.5,477.379,5,0
1822,675840775,373945,11685.8,43.55,58.5,65.5,458.97,5,0
1832,679582418,373584,11674.5,43.55,58.5,65.5,468.799,5,0
1842,683328448,374018,11688.1,43.55,58.5,65.5,481.123,5,0
1852,687073357,373914,11684.8,43.55,58.5,65.5,473.011,5,0
1862,690815312,373614,11675.4,43.55,58.5,65.5,466.771,5,0
1872,694559523,373835,11682.3,43.55,58.5,65.5,475.663,5,0
1882,698314415,374916,11716.1,43.55,58.5,65.5,464.899,5,0
1892,702058284,373809,11681.5,43.55,58.5,65.5,466.615,5,0
1902,705793832,372942,11654.4,43.55,58.5,65.5,462.559,5,0
1912,709529021,372965,11655.2,43.55,58.5,65.5,456.786,5,0
